date_scraping,channel_name,channel_subscribers_number,title_video,hashtags_video,visualizations_video,date_upload_video,day_of_week_upload_video,converted_date_upload_video,likes_video,count_comments,username,comment_text,comment_text_and_emojis_used,date_comment,likes_comment,converted_date_comment,day_of_week_comment
12,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Danielius Leks,cuando el poli vio a la jefa de gobierno se le bajó la presión JAJAJAJAJA,"['cuando el poli vio a la jefa de gobierno se le bajó la presión JAJAJAJAJA', []]",8 days ago,1900,2023-02-03 19:11:24,Friday
13,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",X D,"Hubiese estado chido que también subirás a su esposa Chela Lora, así se podría ver a la pareja de rock más vieja cotorreando.","['Hubiese estado chido que también subirás a su esposa Chela Lora, así se podría ver a la pareja de rock más vieja cotorreando.', []]",6 days ago (edited),129,2023-02-05 19:11:24,Sunday
14,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",guillermochapa,"""señora Claudia Sheinbaum, su campaña parece ir como un tren fuera de borda ¿por qué es tan popular?""
Le faltó hacer esa pregunta ","['""señora Claudia Sheinbaum, su campaña parece ir como un tren fuera de borda ¿por qué es tan popular?""\nLe faltó hacer esa pregunta ', ['😂', '😂', '😂', '😂', '😂']]",3 days ago (edited),89,2023-02-08 19:11:24,Wednesday
15,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",S M,Escorpión dándose prisa por sacar la entrevista con Ibai y todos se olviden de que vendió la entrevista ,"['Escorpión dándose prisa por sacar la entrevista con Ibai y todos se olviden de que vendió la entrevista ', ['😂', '😂']]",5 days ago,403,2023-02-06 19:11:24,Monday
16,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",LEONEL DOMÍNGUEZ,"Estuvo muy bueno ese chequé, ahora se llama el ESCORPIÓN DE DIAMANTE, ya lo podemos incluir en la lista junto con Lord molécula, Vicente serrano y los comentaristas del canal once","['Estuvo muy bueno ese chequé, ahora se llama el ESCORPIÓN DE DIAMANTE, ya lo podemos incluir en la lista junto con Lord molécula, Vicente serrano y los comentaristas del canal once', []]",5 days ago,277,2023-02-06 19:11:24,Monday
17,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Hugo Viesca,""" a la autoridad no se le aplaude, se le cuestiona""  ni tres doritos después procede a chuparle los pies jajaja","['"" a la autoridad no se le aplaude, se le cuestiona""  ni tres doritos después procede a chuparle los pies jajaja', []]",1 day ago,8,2023-02-10 19:11:24,Friday
18,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Daniel Martínez,HASTA LA JEFA CLAUDIA ESTUVO MAS DIVERTIDA QUE LA DIVA DE LUISITO COMUNICA!!!!,"['HASTA LA JEFA CLAUDIA ESTUVO MAS DIVERTIDA QUE LA DIVA DE LUISITO COMUNICA!!!!', []]",9 days ago,8700,2023-02-02 19:11:24,Thursday
19,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Aldo Valencia,La mejor entrevista a modo. Limpiando la cara de Alex Lora,"['La mejor entrevista a modo. Limpiando la cara de Alex Lora', []]",7 days ago,325,2023-02-04 19:11:24,Saturday
20,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Abraham Sanchez,Usen este comentario para decirle al escorpion que una de las partes favoritas es cuando interactua con la gente,"['Usen este comentario para decirle al escorpion que una de las partes favoritas es cuando interactua con la gente', []]",7 days ago,98,2023-02-04 19:11:24,Saturday
21,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Ivonne Viridiana Gualito Rodríguez,"Yo quisiera circular en el centro como lo hizo el escorpión, excelente escenificación ","['Yo quisiera circular en el centro como lo hizo el escorpión, excelente escenificación ', ['😬', '👌']]",5 days ago,68,2023-02-06 19:11:24,Monday
22,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Pedrock Valdivia,"“Pregunté lo que nadie se atreve a preguntar y no fue a MODO,no es que yo le esté ayudando en su campaña bla bla bla…” el anecdotario money money","['“Pregunté lo que nadie se atreve a preguntar y no fue a MODO,no es que yo le esté ayudando en su campaña bla bla bla…” el anecdotario money money', []]",2 days ago,7,2023-02-09 19:11:24,Thursday
23,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Mr Kakas,Yo nada más vengo por el capítulo de la Unidad de quemados a la que llegó el Escorpión dorado. ,"['Yo nada más vengo por el capítulo de la Unidad de quemados a la que llegó el Escorpión dorado. ', ['😂', '😂', '😂']]",7 days ago,768,2023-02-04 19:11:24,Saturday
24,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Magdiel Burgos,"Sube a Marcelo, por fas. 
Ya destapa a los candidatos alacran dorado jajajaja","['Sube a Marcelo, por fas. \nYa destapa a los candidatos alacran dorado jajajaja', []]",6 days ago,56,2023-02-05 19:11:24,Sunday
25,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Milo Donovan,"El escorpión MORENO!!! ,ahora sube un video con el ingeniero que da mantenimiento al metro CDMX para dar un contraste real","['El escorpión MORENO!!! ,ahora sube un video con el ingeniero que da mantenimiento al metro CDMX para dar un contraste real', ['😁']]",6 days ago,182,2023-02-05 19:11:24,Sunday
26,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",francisco javier cano jimenez,No cabe duda todos tenemos un precio sr escorpion,"['No cabe duda todos tenemos un precio sr escorpion', []]",4 days ago,206,2023-02-07 19:11:24,Tuesday
27,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",ORLANDO NEVES,"Estoy espectante al vídeo de escorpión con Ibai, siento que va a ser algo espectacular ️️️️","['Estoy espectante al vídeo de escorpión con Ibai, siento que va a ser algo espectacular ️️️️', ['❤', '❤', '❤', '❤']]",5 days ago,16,2023-02-06 19:11:24,Monday
28,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Hermilo Torrado,"Buena serie, haber cuantos aceptan es bueno verlos fuera de sus oficinas haber como interaccionan.","['Buena serie, haber cuantos aceptan es bueno verlos fuera de sus oficinas haber como interaccionan.', []]",4 days ago,4,2023-02-07 19:11:24,Tuesday
